no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,2,5,Meal Plan 1,0,Room_Type 1,165,2019,6,17,Online,0,0,0,89.1,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,5,2018,7,14,Online,0,0,0,139,1,Not_Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 4,179,2019,5,17,Online,0,0,0,175.05,3,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 2,48,2018,9,4,Online,0,0,0,109.8,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,54,2018,5,12,Online,0,0,0,132.6,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,75.33,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,9,9,Corporate,0,0,0,65,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,29,2019,2,22,Online,0,0,0,98.6,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,11,2019,3,7,Offline,0,0,0,130,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,130,2018,11,26,Offline,0,0,0,68,0,Not_Canceled
3,0,0,3,Not Selected,0,Room_Type 1,114,2019,6,22,Online,0,0,0,154,3,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,109,2019,8,31,Online,0,0,0,104.4,0,Not_Canceled
2,1,4,6,Meal Plan 1,0,Room_Type 1,57,2017,12,26,Online,0,0,0,113.85,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,89,2018,4,12,Online,0,0,0,96.3,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,221,2018,12,29,Online,0,0,0,79.5,2,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,11,10,Corporate,1,0,1,40,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,76,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,139,2018,9,5,Offline,0,0,0,90.95,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Online,0,0,0,109,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,12,11,Offline,0,0,0,75,0,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,205,2019,8,19,Online,0,0,0,97.35,1,Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,7,2,Online,0,0,0,150.3,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,151,2019,5,19,Online,0,0,0,140,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,73,2019,7,6,Online,0,0,0,120,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Not_Canceled
2,0,2,1,Not Selected,1,Room_Type 1,156,2018,8,21,Online,0,0,0,103.5,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,50,2019,3,15,Offline,0,0,0,65,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,4,8,Online,0,0,0,78,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,32,2018,3,11,Offline,0,0,0,85,0,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,65,2019,8,4,Online,0,0,0,200,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,1,Complementary,1,0,1,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,130,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 6,159,2018,5,26,Online,0,0,0,187.85,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,46,2018,8,24,Online,0,0,0,168.3,2,Not_Canceled
2,0,1,3,Meal Plan 1,1,Room_Type 1,306,2019,3,27,Online,0,0,0,86.35,2,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,17,2018,11,16,Online,0,0,0,74.8,2,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,27,2019,4,27,Online,0,0,0,115,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,57,2018,4,21,Online,0,0,0,112.2,0,Canceled
2,0,1,0,Meal Plan 1,1,Room_Type 4,1,2018,1,4,Online,0,0,0,106,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,159,2018,9,30,Online,0,0,0,134.46,2,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,24,2018,9,12,Online,0,0,0,108,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,396,2019,4,25,Online,0,0,0,90,0,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,17,2017,11,3,Online,0,0,0,90.95,1,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,9,2018,2,21,Online,0,0,0,79,0,Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 4,12,2019,5,16,Online,0,0,0,175.71,0,Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,111,2018,9,16,Online,0,0,0,168.3,3,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,316,2019,5,10,Online,0,0,0,123.3,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,5,24,Corporate,0,0,0,110,1,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 5,115,2019,7,23,Corporate,0,0,0,110,0,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,3,2017,8,20,Online,1,0,1,106,3,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,194,2018,8,22,Online,0,0,0,102.25,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,19,2019,6,19,Online,0,0,0,190,3,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,6,23,Offline,0,0,0,95,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2017,10,7,Corporate,0,0,0,85.5,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,163,2019,7,16,Online,0,0,0,80.79,0,Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 1,33,2018,2,26,Online,0,0,0,102.37,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,108,2019,7,24,Online,0,0,0,127.1,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,17,Online,0,0,0,129,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,19,Online,0,0,0,106,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,69,2018,11,4,Online,0,0,0,102.6,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,7,2017,10,28,Online,0,0,0,92.4,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,118,2019,5,31,Online,0,0,0,85.59,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,40,2018,3,7,Online,0,0,0,82.1,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,184,2018,7,10,Online,0,0,0,105.3,1,Canceled
2,1,1,4,Meal Plan 1,0,Room_Type 1,73,2018,10,12,Online,0,0,0,135,1,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,52,2019,6,3,Online,0,0,0,170,0,Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,119,2019,5,29,Online,0,0,0,144,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,203,2019,7,1,Online,0,0,0,120.6,1,Canceled
2,1,0,4,Meal Plan 1,0,Room_Type 1,149,2019,8,1,Online,0,0,0,148.5,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,79,2018,4,2,Online,0,0,0,76.5,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,6,2018,5,8,Online,0,0,0,108,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,12,2,Corporate,0,0,0,85,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,23,2019,2,24,Online,0,0,0,118,2,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,11,2018,10,10,Offline,0,0,0,107,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,12,2,Corporate,0,0,0,85,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,52,2018,2,4,Online,0,0,0,73.95,0,Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 1,171,2019,8,14,Online,0,0,0,139.5,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,4,Online,0,0,0,88.4,0,Not_Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,4,13,Corporate,1,0,2,67,1,Not_Canceled
2,0,2,2,Meal Plan 1,1,Room_Type 1,36,2019,1,29,Online,0,0,0,97.3,2,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,16,2018,3,8,Corporate,0,0,0,76,0,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,48,2018,5,22,Offline,0,0,0,81,0,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,315,2018,9,30,Online,0,0,0,160,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,521,2019,8,29,Online,0,0,0,90,0,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,3,2018,10,30,Online,0,0,0,150,2,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,223,2019,7,8,Online,0,0,0,107.1,1,Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,94,2019,8,18,Offline,0,0,0,115,3,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,13,Offline,0,0,0,90,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,260,2019,3,10,Online,0,0,0,90,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,69,2017,9,22,Offline,0,0,0,106,0,Not_Canceled
2,0,3,10,Not Selected,0,Room_Type 1,117,2019,5,2,Online,0,0,0,110.77,1,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,99,2018,5,1,Online,0,0,0,89.25,0,Canceled
2,1,2,1,Not Selected,0,Room_Type 1,73,2018,4,3,Online,0,0,0,94,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Online,0,0,0,120,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,28,2019,1,20,Online,0,0,0,88.75,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,30,2018,9,15,Online,0,0,0,125.1,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,56,2017,11,6,Offline,0,0,0,60,0,Not_Canceled
0,2,0,4,Meal Plan 1,0,Room_Type 2,310,2019,5,24,Online,0,0,0,99.45,0,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,83,2018,12,18,Offline,0,0,0,75,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,Corporate,0,0,0,125.1,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,92,2018,12,22,Online,0,0,0,96.9,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,11,2018,2,12,Offline,1,1,0,93.8,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,67,2018,9,6,Online,0,0,0,98.1,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,25,2018,2,7,Online,0,0,0,64.64,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,32,2018,7,18,Offline,0,0,0,105,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,286,2018,10,16,Online,0,0,0,90,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,80,2018,3,25,Offline,0,0,0,74.8,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,186,2018,7,12,Online,0,0,0,90.95,2,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,59.5,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,15,2019,3,8,Online,0,0,0,121.33,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,103,2017,7,18,Online,0,0,0,94.5,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,114,2018,6,2,Online,0,0,0,140.4,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,129,2019,8,23,Online,0,0,0,125,2,Not_Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110,0,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,24,2018,10,3,Corporate,1,0,2,95,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,106,2019,3,6,Online,0,0,0,97.2,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109,1,Not_Canceled
2,0,2,1,Not Selected,1,Room_Type 1,29,2017,12,6,Offline,0,0,0,66,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,10,6,Complementary,1,2,7,0,3,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 5,1,2019,4,4,Online,0,0,0,250,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,63,2019,8,31,Online,0,0,0,133.5,1,Not_Canceled
1,0,2,7,Meal Plan 1,0,Room_Type 1,14,2018,3,4,Online,0,0,0,88.33,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Online,0,0,0,95,0,Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,124,2018,5,31,Online,0,0,0,143.1,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,104,2017,10,6,Online,0,0,0,114,1,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,51,2017,9,16,Offline,0,0,0,75.6,1,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 5,124,2019,6,25,Online,0,0,0,153,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,65,2018,9,27,Online,0,0,0,135.9,3,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,10,1,Online,0,0,0,108.9,2,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,4,2018,1,8,Offline,0,0,0,70,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,11,12,Online,0,0,0,93.6,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,56,2018,7,27,Online,0,0,0,125.1,1,Not_Canceled
1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,18,2019,3,12,Online,0,0,0,102.43,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,67,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,160,2017,12,30,Offline,0,0,0,70,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 4,174,2018,6,5,Online,0,0,0,115.2,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,11,2,Offline,0,0,0,75,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,63,2017,9,4,Offline,0,0,0,116,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,1,3,Online,0,0,0,81,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,5,2017,9,20,Online,0,0,0,92.4,1,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 4,142,2019,3,25,Online,0,0,0,136.8,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,31,2019,3,9,Online,0,0,0,124.67,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,23,Online,0,0,0,69.84,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,170,2019,5,24,Online,0,0,0,108,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled
0,2,2,2,Meal Plan 1,0,Room_Type 2,200,2019,3,24,Online,0,0,0,77.86,2,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,38,2018,1,15,Online,0,0,0,55.59,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,38,2017,9,14,Online,0,0,0,101.83,1,Not_Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,53,2019,3,13,Offline,0,0,0,65,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,176,2018,9,8,Online,0,0,0,125.1,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,1,2019,5,26,Online,0,0,0,106.28,0,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,7,11,Corporate,0,0,0,79,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,156,2018,12,27,Online,0,0,0,122.4,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,232,2019,8,26,Online,0,0,0,99,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,182,2018,8,15,Online,0,0,0,112.2,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,187,2019,7,9,Online,0,0,0,120.6,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,46,2019,7,3,Online,0,0,0,89.38,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,11,2018,9,15,Online,0,0,0,113.34,1,Not_Canceled
2,0,2,0,Not Selected,0,Room_Type 4,41,2019,2,19,Online,0,0,0,148,1,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,28,2018,10,3,Online,0,0,0,126,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,87,2018,10,23,Offline,0,0,0,112.25,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,99,2018,5,13,Online,0,0,0,159.3,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,13,2017,10,18,Offline,0,0,0,85,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,18,2018,5,10,Online,0,0,0,146,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,11,1,Offline,0,0,0,75,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,31,2019,6,25,Online,0,0,0,166.33,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,162,2018,10,14,Online,0,0,0,115,0,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,4,2018,6,16,Online,0,0,0,168.5,2,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,78,2019,8,13,Online,0,0,0,130,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,15,2017,8,27,Online,0,0,0,80,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,23,2018,9,15,Online,0,0,0,159,2,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,1,2019,3,18,Online,0,0,0,168,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,7,2018,5,4,Online,0,0,0,156,1,Not_Canceled
0,2,0,3,Meal Plan 1,0,Room_Type 2,40,2018,1,14,Online,0,0,0,6.67,1,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,80,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,141,2018,9,23,Online,0,0,0,128.8,1,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,272,2019,8,18,Online,0,0,0,156.6,1,Canceled
1,0,1,0,Not Selected,0,Room_Type 1,1,2019,3,13,Online,0,0,0,88,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,40,2017,10,25,Online,0,0,0,71.64,0,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,108,2019,3,10,Online,0,0,0,74.8,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,42,2018,2,3,Online,0,0,0,80.3,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,216,2019,8,16,Online,0,0,0,121.37,2,Canceled
2,1,2,2,Meal Plan 2,0,Room_Type 1,60,2019,4,8,Online,0,0,0,186.3,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,90,2019,5,10,Online,0,0,0,129.6,0,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 5,36,2019,7,29,Online,0,0,0,240,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,54,2017,10,3,Online,0,0,0,74.15,2,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,24,2017,9,19,Online,0,0,0,124,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,3,8,Corporate,0,0,0,75,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2019,1,3,Online,0,0,0,81.62,1,Not_Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,8,20,Online,0,0,0,168.3,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2019,1,24,Offline,0,0,0,75,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,217,2019,8,15,Online,0,0,0,130.5,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,29,Offline,0,0,0,85,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 2,33,2017,8,5,Online,0,0,0,67.5,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,77,2019,3,25,Online,0,0,0,100.3,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,11,2018,5,24,Offline,0,0,0,160,0,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,63,2018,3,28,Online,0,0,0,80.1,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,56,2018,11,16,Offline,0,0,0,75,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,36,2018,5,21,Online,0,0,0,126.9,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,13,2019,2,23,Online,0,0,0,122.4,2,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Online,0,0,0,115,0,Canceled
0,2,1,1,Meal Plan 1,0,Room_Type 2,92,2018,10,29,Online,0,0,0,81.5,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,23,2018,8,3,Online,0,0,0,166,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,144,2019,6,29,Online,0,0,0,121.05,1,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,27,2018,11,6,Online,0,0,0,143.3,1,Not_Canceled
1,0,1,1,Not Selected,0,Room_Type 1,60,2019,6,5,Online,0,0,0,130,1,Not_Canceled
2,2,2,1,Meal Plan 2,0,Room_Type 6,57,2018,4,24,Online,0,0,0,228.6,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,50,2019,4,9,Online,0,0,0,126,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,8,2018,6,26,Offline,0,0,0,107,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,423,2019,7,22,Online,0,0,0,80,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,8,20,Online,0,0,0,130,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,14,2019,6,7,Corporate,0,0,0,130.5,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,1,20,Online,0,0,0,96,1,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,55,2018,9,10,Online,0,0,0,91.51,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2019,6,19,Online,0,0,0,130,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,23,2019,5,26,Online,0,0,0,117,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,8,30,Online,0,0,0,90,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,0,0,0,107,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80,1,Not_Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110,0,Canceled
2,0,0,3,Not Selected,1,Room_Type 1,69,2018,6,21,Online,0,0,0,114.9,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2,2019,8,3,Online,0,0,0,140,1,Not_Canceled
2,0,1,4,Not Selected,0,Room_Type 1,139,2019,5,29,Online,0,0,0,111.6,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Online,0,0,0,75,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,16,2017,9,21,Online,0,0,0,124,2,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,133,2018,9,27,Online,0,0,0,118.8,3,Not_Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 1,2,2019,3,5,Offline,0,0,0,60,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2018,3,2,Online,0,0,0,101,1,Not_Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,39,2019,1,9,Online,0,0,0,88.4,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,6,22,Online,0,0,0,131,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,13,2019,7,30,Online,0,0,0,162.67,2,Not_Canceled
